"NF_REGION","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
1,"202","Douglas-fir","Softwood","WMERBCH",2,5957532336.3559,18126013682.497,12168481346.1411,204.253718807078,"Top and limb weight"
1,"202","Douglas-fir","Softwood","WMEROB",2,54325305811.1901,80454878336.0944,26129572524.9043,48.0983441045297,"Merch bole wood and bark weight"
1,"202","Douglas-fir","Softwood","WSTPOB",2,3552073560.28063,4357748629.50094,805675069.220312,22.6818238853325,"Stump wood and bark weight"
1,"231","Pacific yew","Softwood","BIOMASS",1,456263866.539439,1072938001.68299,616674135.143549,135.157346519844,"Total aboveground biomass"
1,"231","Pacific yew","Softwood","CARBON",1,228131958.073409,506426736.79437,278294778.720962,121.988510978989,"Total aboveground carbon"
1,"231","Pacific yew","Softwood","VMERIB",1,1087378.6054446,1228409.42128438,141030.815839787,12.9697986638356,"Merchantable wood volume"
1,"231","Pacific yew","Softwood","WMERBCH",1,6578416.72878954,83118142.7683524,76539726.0395628,1163.49768029437,"Top and limb weight"
1,"231","Pacific yew","Softwood","WMEROB",1,42312772.2584557,58546042.173425,16233269.9149692,38.3649405333521,"Merch bole wood and bark weight"
1,"231","Pacific yew","Softwood","WSTPOB",1,5016608.20325958,8816305.26995723,3799697.06669765,75.7423524569601,"Stump wood and bark weight"
1,"231","Pacific yew","Softwood","BIOMASS",2,8982209.19290388,24864027.5589097,15881818.3660059,176.814167037579,"Total aboveground biomass"
