"SPCD","COMMON_NAME","HWSW","DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"103","knobcone pine","Softwood","260","261","BIOMASS",1,75964119.8001961,79905118.6816231,3940998.88142706,5.18797412751288,"Total aboveground biomass"
"103","knobcone pine","Softwood","260","261","CARBON",1,37982059.9149828,38302518.640036,320458.725053206,0.843710756526911,"Total aboveground carbon"
"103","knobcone pine","Softwood","260","261","VMERIB",1,2299140.80866978,2256513.03254184,-42627.7761279382,-1.85407418141568,"Merchantable wood volume"
"103","knobcone pine","Softwood","260","261","VSAWIB",1,2205916.86515906,2088310.34744481,-117606.517714252,-5.3314120568987,"Sawlog wood volume"
"103","knobcone pine","Softwood","260","261","WMERBCH",1,10512503.9150524,15545749.5555043,5033245.6404519,47.8786565134592,"Top and limb weight"
"103","knobcone pine","Softwood","260","261","WMEROB",1,62493957.9247004,61619641.1798591,-874316.744841248,-1.3990420416238,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","260","261","WSTPOB",1,2957657.96044328,2739727.94625957,-217930.014183711,-7.36833052024207,"Stump wood and bark weight"
"103","knobcone pine","Softwood","260","261","BIOMASS",2,75844889.3294955,80324628.6010981,4479739.27160257,5.90644842547148,"Total aboveground biomass"
"103","knobcone pine","Softwood","260","261","CARBON",2,37922445.1721473,38503610.7199364,581165.547789097,1.532510747002,"Total aboveground carbon"
"103","knobcone pine","Softwood","260","261","VMERIB",2,2648787.96339226,2278313.8946455,-370474.068746754,-13.9865505984969,"Merchantable wood volume"
"103","knobcone pine","Softwood","260","261","WMERBCH",2,2664663.80402182,3621159.76105938,956495.957037557,35.8955585914404,"Top and limb weight"
"103","knobcone pine","Softwood","260","261","WMEROB",2,62786322.0011032,63572844.0384922,786522.037389025,1.25269646687571,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","260","261","WSTPOB",2,2959207.07311726,4370790.52832058,1411583.45520333,47.7014085302369,"Stump wood and bark weight"
"103","knobcone pine","Softwood","260","263","BIOMASS",2,8304688.45024159,10544276.3881041,2239587.93786251,26.9677538330454,"Total aboveground biomass"
"103","knobcone pine","Softwood","260","263","CARBON",2,4152344.24461607,5054398.8866377,902054.642021633,21.7239850282461,"Total aboveground carbon"
"103","knobcone pine","Softwood","260","263","VMERIB",2,350262.317364978,318031.564023669,-32230.753341309,-9.20189005308389,"Merchantable wood volume"
"103","knobcone pine","Softwood","260","263","WMERBCH",2,272757.51098303,191276.789044828,-81480.7219382029,-29.8729525887455,"Top and limb weight"
"103","knobcone pine","Softwood","260","263","WMEROB",2,7416056.4327007,9546995.56047869,2130939.12777799,28.73412772834,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","260","263","WSTPOB",2,615874.506557863,806004.038580595,190129.532022732,30.8714730027341,"Stump wood and bark weight"
"103","knobcone pine","Softwood","M240","M242","BIOMASS",1,378487006.092657,439802063.63791,61315057.5452529,16.200042949491,"Total aboveground biomass"
"103","knobcone pine","Softwood","M240","M242","CARBON",1,189243503.924466,210819119.204832,21575615.2803656,11.4009806587481,"Total aboveground carbon"
"103","knobcone pine","Softwood","M240","M242","VMERIB",1,11111403.357456,11120875.5772719,9472.21981594339,0.085247736142954,"Merchantable wood volume"
"103","knobcone pine","Softwood","M240","M242","VSAWIB",1,2728580.59143044,2476818.57837901,-251762.013051433,-9.22684907464831,"Sawlog wood volume"
"103","knobcone pine","Softwood","M240","M242","WMERBCH",1,57306051.6397888,134608254.606296,77302202.9665069,134.893612026194,"Top and limb weight"
"103","knobcone pine","Softwood","M240","M242","WMEROB",1,302023943.980703,280410764.415659,-21613179.5650445,-7.1561146047498,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","M240","M242","WSTPOB",1,19157010.4721647,24783044.6159553,5626034.14379061,29.368017269528,"Stump wood and bark weight"
"103","knobcone pine","Softwood","M240","M242","BIOMASS",2,51910077.5996287,60743770.2766446,8833692.67701585,17.0172981538348,"Total aboveground biomass"
"103","knobcone pine","Softwood","M240","M242","CARBON",2,25955038.8292807,29117526.2821096,3162487.45282884,12.18448361272,"Total aboveground carbon"
"103","knobcone pine","Softwood","M240","M242","VMERIB",2,1707317.0985881,1665001.56797377,-42315.5306143262,-2.47848104194118,"Merchantable wood volume"
"103","knobcone pine","Softwood","M240","M242","WMERBCH",2,6199661.64119639,14784406.2516231,8584744.61042672,138.471179675058,"Top and limb weight"
"103","knobcone pine","Softwood","M240","M242","WMEROB",2,43285118.7404576,43339762.0683887,54643.3279311061,0.126240448267576,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","M240","M242","WSTPOB",2,2425297.21797477,2619601.95663274,194304.738657974,8.01158460983297,"Stump wood and bark weight"
"104","foxtail pine","Softwood","M260","M261","BIOMASS",1,11042250389.5741,14813241696.4423,3770991306.86819,34.150568714043,"Total aboveground biomass"
"104","foxtail pine","Softwood","M260","M261","CARBON",1,5521125196.15766,7079988868.8146,1558863672.65694,28.2345286019198,"Total aboveground carbon"
"104","foxtail pine","Softwood","M260","M261","VMERIB",1,299993393.960596,270079168.230105,-29914225.730491,-9.97162815339203,"Merchantable wood volume"
